hotel,Score,Cleanliness,Comfort
Hotel Pennsylvania,5.6,5.0,4.9
Radisson Martinique on Broadway,8.2,8.5,8.1
Residence Inn by Marriott New York Manhattan/Times Square,8.3,8.2,8.2
MADE Hotel,9.1,9.4,9.0
LUMA Hotel - Times Square,9.2,9.5,9.3
"The Standard, High Line New York",8.3,8.7,8.3
citizenM New York Times Square,9.2,9.5,9.1
Gansevoort Meatpacking,8.3,8.6,8.3
Courtyard by Marriott New York Manhattan/Central Park,8.0,8.2,8.1
"The Langham, New York, Fifth Avenue",9.2,9.5,9.4
Hyatt Centric Times Square New York,8.7,9.1,9.0
The Assemblage John Street,9.4,9.7,9.7
Splendid Apartment by Times SQ,8.0,7.8,8.3
Warwick New York,8.4,8.6,8.5
Radio City Apartments,8.5,8.6,8.2
Crowne Plaza Times Square,8.2,8.3,8.3
Executive Hotel Le Soleil New York,8.5,8.8,8.5
Hyatt Place New York/Midtown-South,8.6,8.7,8.5
InterContinental New York Times Square,8.0,8.2,8.3
AKA Central Park,8.5,8.3,8.6
Hyatt House New York/Chelsea,8.8,8.9,8.9
Archer Hotel New York,8.9,9.3,8.7
"The Beekman, a Thompson Hotel",9.3,9.6,9.4
New York Marriott Marquis,8.2,8.3,8.3
Cambria Hotel New York - Times Square,8.8,9.1,8.7
Broadway at Times Square Hotel,8.4,8.3,8.1
MOXY NYC Times Square,8.4,8.8,8.0
Nolitan Hotel SoHo - New York,8.7,9.1,8.6
AKA Times Square,8.8,8.7,8.9
Gramercy Townhouse,9.5,9.6,9.8
Blakely New York Hotel,8.6,8.8,8.5
Ace Hotel New York,8.3,8.6,8.1
"LIFE Hotel, NoMad",8.2,8.6,8.0
"Club Quarters Hotel, Opposite Rockefeller Center",8.1,8.0,7.8
Lombardy Hotel,8.5,8.7,8.6
Arlo SoHo,8.7,9.3,8.4
TRYP by Wyndham Times Square South,8.4,8.5,8.4
Residence Inn by Marriott New York Manhattan/Central Park,8.3,8.2,8.5
Holiday Inn Express - Times Square South,8.3,8.4,8.1
Millennium Hilton New York One UN Plaza,8.4,8.8,8.8
Fairfield Inn & Suites By Marriott New York Manhattan/Times Square,8.3,8.6,8.2
NoMo SoHo,8.3,8.8,8.4
Hilton Garden Inn Central Park South,8.3,8.6,8.2
The Evelyn,8.3,8.6,8.1
RIU Plaza New York Times Square,8.7,9.0,8.7
1 Hotel Central Park,9.0,9.4,9.0
Hotel 50 Bowery,9.1,9.6,9.4
Hotel Boutique at Grand Central,8.6,9.0,8.5
Chambers Hotel,8.9,9.1,8.8
The New York EDITION,9.0,9.4,9.1
Westin New York at Times Square,8.0,8.2,8.3
HGU New York,8.6,9.0,8.5
Arlo NoMad,8.8,9.3,8.6
EVEN Hotel New York - Midtown East 44th,8.7,9.0,8.7
Courtyard by Marriott Times Square West,8.7,9.1,8.7
World Center Hotel,8.6,8.8,8.6
Midtown West 2 Bedroom Apartment,8.5,8.8,8.8
Trump International New York,8.8,9.2,9.0
Novotel New York Times Square,8.5,8.8,8.7
Sixty LES,8.2,8.4,8.2
The Standard - East Village,8.8,9.1,8.8
Andaz 5th Avenue-a concept by Hyatt,8.7,8.9,8.9
The Dominick Hotel,8.5,8.8,8.8
Doubletree By Hilton New York Times Square West,8.0,8.3,7.8
